Category,Answer
Safety Instructions,Famine: Follow food security guidelines and support sustainable agricultural practices. Conserve food resources and report any food scarcity concerns. Seek assistance from local authorities or relief organizations.
Safety Instructions,"Epidemic: Practice good hygiene, such as frequent handwashing and covering coughs and sneezes. Follow health advisories and get vaccinated if available. Report any suspected cases or symptoms."
Safety Instructions,Frost: Protect sensitive equipment and crops from frost damage. Implement frost prevention measures and monitor weather forecasts. Follow recommended practices for frost protection.
Safety Instructions,Mudslide: Be vigilant for signs of slope instability and heed evacuation warnings. Move to higher ground if necessary. Avoid valleys and areas susceptible to mudslides during heavy rainfall.
Safety Instructions,Ice Storm: Exercise caution when walking or driving on icy surfaces. Use traction devices or salt for pathways. Monitor weather updates and follow safety recommendations during icy conditions.
Safety Instructions,Solar Flare: Follow guidance from authorities and maintain backup power sources. Protect sensitive equipment from power surges. Stay informed about space weather updates and potential impacts.
Safety Instructions,Tidal Wave: Move to higher ground or an elevated area away from the coast. Follow evacuation orders and listen to local authorities for updates. Avoid returning to coastal areas until declared safe.
Safety Instructions,Heat Exhaustion: Stay hydrated and take breaks in cool areas. Avoid strenuous activities during peak heat. Recognize symptoms of heat exhaustion and seek medical attention if needed.
Emergency contact,"In case of an emergency in the United States, dial 911"
Emergency contact,"If you are in the United Kingdom and need immediate assistance, call 999 or 112"
Emergency contact,"For emergencies in Australia, the contact number is 000"
Emergency contact,"In Canada, the emergency contact number is 911"
Emergency contact,"If you require emergency assistance in India, dial 112 or use the specific numbers: 100 for police, 101 for fire, and 102 for ambulance"
Emergency contact,"For emergencies in Germany, dial 112"
Emergency contact,"In France, you can reach emergency services by dialing 112 or 18 for firefighters and 15 for medical emergencies"
Emergency contact,"If you are in Japan and need immediate help, call 110 for police or 119 for fire and medical emergencies"
Emergency contact,"In China, dial 110 for police emergencies or 119 for fire and medical emergencies"
Emergency contact,"In Brazil, the emergency contact numbers are 190 for military police, 192 for ambulance services, and 193 for firefighters"
Emergency contact,"If you are in Mexico and require emergency assistance, dial 911"
Emergency contact,"In South Africa, the emergency contact numbers are 10111 for police, 10177 for ambulance services, and 1022 for firefighters"
Emergency contact,"If you are in Nigeria and need immediate help, dial 112 or 199 for police, 112 or 1123 for ambulance services, and 112 or 1122 for firefighters"
Emergency contact,"In Russia, the emergency contact number is 112"
Emergency contact,"For emergencies in Saudi Arabia, dial 112 or 911"
Emergency contact,"In the United Arab Emirates, the emergency contact number is 999"
Emergency contact,"If you are in Pakistan and require immediate assistance, dial 15 for police, 16 for ambulance services, and 16 for firefighters"
